time,motor_speed,sound_card_status,camera_status,temp_1,temp_2,temp_3,LO_signal,SOE_signal,SODS_signal,error_code,led_status
2024-01-18 10:14:12.496,0.0,1.0,,0.2158716949634254,0.2501471417490393,,,,,,0.0
2024-01-18 10:14:12.506,0.0,,,0.2158716949634254,,,0.0,,,,0.0
2024-01-18 10:14:12.516,,,1.0,,,,0.0,,,,
2024-01-18 10:14:12.550,,,1.0,,,,,0.0,,,
2024-01-18 10:14:12.577,,,,,,9.854582069814228,,0.0,,,
2024-01-18 10:14:12.628,,,,,,9.854582069814228,,,0.0,,
2024-01-18 10:14:12.947,,,,,,,,,0.0,,
2024-01-18 10:14:13.043,0.0,1.0,1.0,0.2107803667895496,0.2552336717490107,9.854582069814228,0.0,0.0,0.0,,0.0
2024-01-18 10:14:13.395,0.0,1.0,1.0,0.2158716949634254,0.2501471417490393,9.854582069814228,0.0,0.0,0.0,,0.0
2024-01-18 10:14:13.750,0.0,1.0,1.0,,0.2552336717490107,,,,,,0.0
2024-01-18 10:14:14.020,0.0,1.0,1.0,0.2158716949634254,0.2501471417490393,10.055436989665054,,0.0,,,0.0
2024-01-18 10:14:14.038,0.0,1.0,1.0,0.2158716949634254,0.2552336717490107,10.055436989665054,0.0,0.0,,,0.0
2024-01-18 10:14:14.054,0.0,1.0,1.0,0.2107803667895496,0.2501471417490393,10.055436989665054,0.0,0.0,0.0,,0.0
2024-01-18 10:14:14.419,,,,,,,0.0,,0.0,,
2024-01-18 10:14:14.776,,,,,,,,,0.0,,
2024-01-18 10:14:15.032,0.0,1.0,1.0,0.2158716949634254,0.2552336717490107,10.055436989665054,0.0,0.0,0.0,,0.0
2024-01-18 10:14:15.349,0.0,1.0,1.0,0.2107803667895496,0.2501471417490393,9.854582069814228,0.0,0.0,0.0,,0.0
2024-01-18 10:14:15.668,0.0,,1.0,0.2107803667895496,0.2552336717490107,10.055436989665054,0.0,0.0,0.0,,0.0
2024-01-18 10:14:15.986,0.0,,,,,,,,,,
2024-01-18 10:14:16.007,0.0,1.0,1.0,0.2107803667895496,0.2552336717490107,10.25629190951588,0.0,0.0,0.0,,0.0
2024-01-18 10:14:16.364,0.0,1.0,1.0,0.2107803667895496,0.2501471417490393,10.055436989665054,0.0,0.0,0.0,,0.0
2024-01-18 10:14:16.721,0.0,1.0,1.0,,,,0.0,0.0,0.0,,0.0
2024-01-18 10:14:17.037,0.0,1.0,1.0,0.2107803667895496,0.2501471417490393,10.25629190951588,0.0,0.0,0.0,,0.0
2024-01-18 10:14:17.414,0.0,1.0,1.0,0.2107803667895496,0.2501471417490393,10.055436989665054,0.0,0.0,0.0,,0.0
2024-01-18 10:14:17.820,0.0,1.0,1.0,0.2107803667895496,0.2552336717490107,10.055436989665054,,,,,0.0
2024-01-18 10:14:18.054,0.0,1.0,1.0,0.2158716949634254,0.2552336717490107,10.055436989665054,0.0,0.0,0.0,,0.0
2024-01-18 10:14:18.495,0.0,1.0,1.0,0.2107803667895496,0.2501471417490393,10.25629190951588,0.0,,0.0,,0.0
2024-01-18 10:14:18.510,0.0,,,,,,0.0,0.0,0.0,,
2024-01-18 10:14:18.895,,,,,,,,0.0,,,
2024-01-18 10:14:19.008,0.0,1.0,1.0,0.2158716949634254,0.2552336717490107,10.055436989665054,0.0,0.0,0.0,,0.0
